ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	PubMed ID	subunits(Protein name)	subunits(Gene name)	subunits(Gene name syn)	Disease comment	Subunits comment	Complex comment	SWISSPROT organism
2641	CREBBP-KAT2B-MYOD1 complex	Human	p300/CBP-PCAF-MyoD complex	C2C12 myotube	P15172;Q92793;Q92831	4654;1387;8850	MI:0019-coimmunoprecipitation	GO:0007519;GO:0006351	skeletal muscle tissue development;transcription, DNA-templated	41.05.15;11	myogenesis;TRANSCRIPTION	9659901	Myoblast determination protein 1;CREB-binding protein;Histone acetyltransferase KAT2B	MYOD1;CREBBP;KAT2B	BHLHC1 MYF3 MYOD;CBP;PCAF	None	The transcriptional coactivators p300 and CBP are considered as functional homologs, the authors refer to them as p300/CBP. We used CBP.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
2642	SMAD1-P300 complex	Human	None	None	Q09472;Q15797	2033;4086	MI:0007- anti tag coimmunoprecipitation; MI:0402- chromatin immunoprecipitation assays	GO:0006265;GO:0045893;GO:0006473;GO:0006476;GO:0007179;GO:0051276;GO:0005634	DNA topological change;positive regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;transforming growth factor beta receptor signaling pathway;chromosome organization;nucleus	10.01.09.05;11.02.03.04.01;14.07.04;30.05.01.18.01;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcription activation;modification by acetylation, deacetylation;TGF-beta-receptor signalling pathway;organization of chromosome structure;nucleus	10673036	Histone acetyltransferase p300;Mothers against decapentaplegic homolog 1	EP300;SMAD1	P300;BSP1 MADH1 MADR1	None	None	SMAD1 stimulates transcription cooperatively with P300.	Homo sapiens (Human);Homo sapiens (Human)
2649	MYC-DNMT3A-ZBTB17 complex	Human	None	None	P01106;Q13105;Q9Y6K1	4609;None;1788	MI:0019- coimmunoprecipitation	GO:2001141;GO:0006355;GO:0003677	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding	11.02.03.04;16.03.01	transcriptional control;DNA binding	15616584	Myc proto-oncogene protein ;Zinc finger and BTB domain-containing protein 17 ;DNA	MYC;ZBTB17;DNMT3A	BHLHE39;MIZ1 ZNF151 ZNF60;None	None	None	This complex is involved in a transcriptional silecing of  p21Cip1 promoter.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
2650	DNMT3B-DNMT3L complex	Human	None	None	Q9UBC3;Q9UJW3	1789;29947	MI:0071- molecular sieving	GO:0006306	DNA methylation	10.01.09.01	DNA methylation	15105426	DNA;DNA	DNMT3B;DNMT3L	None;	None	None	None	Homo sapiens (Human);Homo sapiens (Human)
2651	DNMT3L-DNMT3A complex	Human	None	None	Q9UJW3;Q9Y6K1	29947;1788	MI:0071- molecular sieving	GO:0006306	DNA methylation	10.01.09.01	DNA methylation	15105426	DNA ;DNA	DNMT3L;DNMT3A	;None	None	None	None	Homo sapiens (Human);Homo sapiens (Human)
2653	MYC-MAX-BLOC1S1 complex	Human	None	None	P01106;P61244;P78537	4609;4149;2647	MI:0019- coimmunoprecipitation	GO:0051098;GO:0005515	regulation of binding;protein binding	18.01.07;16.01	regulation by binding / dissociation;protein binding	10611234	Myc proto-oncogene protein ;Protein max ;Biogenesis of lysosome-related organelles complex 1 subunit 1	MYC;MAX;BLOC1S1	BHLHE39;BHLHD4;BLOS1 GCN5L1 RT14	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
2655	MYC-MAX complex	Human	None	None	P01106;P61244	4609;4149	MI:0019- coimmunoprecipitation	GO:2001141;GO:0006355;GO:0003677	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding	11.02.03.04;16.03.01	transcriptional control;DNA binding	12584560	Myc proto-oncogene protein ;Protein max	MYC;MAX	BHLHE39;BHLHD4	None	None	None	Homo sapiens (Human);Homo sapiens (Human)
2657	ESR1-CDK7-CCNH-MNAT1-MTA1-HDAC2 complex	Human	None	None	P03372;P50613;P51946;P51948;Q13330;Q92769	2099;1022;902;4331;9112;3066	MI:0019- coimmunoprecipitation	GO:2001141;GO:0006355;GO:0006468;GO:0006470;GO:0046777;GO:0006464;GO:0050789;GO:0023052;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;protein phosphorylation;protein dephosphorylation;protein autophosphorylation;cellular protein modification process;regulation of biological process;signaling;nucleus	11.02.03.04;14.07.03;14.07;18;30.01;70.10	transcriptional control;modification by phosphorylation, dephosphorylation, autophosphorylation;protein modification;REGULATION OF METABOLISM AND PROTEIN FUNCTION;cellular signalling;nucleus	12527756	Estrogen receptor;Cyclin-dependent kinase 7 ;Cyclin-H ;CDK-activating kinase assembly factor MAT1 ;Metastasis-associated protein MTA1;Histone deacetylase 2	ESR1;CDK7;CCNH;MNAT1;MTA1;HDAC2	ESR, NR3A1;CAK CAK1 CDKN7 MO15 STK1;;CAP35 MAT1 RNF66;None;None	MTA1 is involved in metastasis or cancer formation.	None	The authors identified MAT1 as a target of corepressor MTA1 and provided new evidence to suggest that the transactivation functions of ER are influenced by the regulatory interactions between CAK and MTA1.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
2660	ERCC2/CAK complex	Human	None	None	P18074;P50613;P51946;P51948	2068;1022;902;4331	MI:0019- coimmunoprecipitation; MI:0029- cosedimentation through density gradients	GO:0006281	DNA repair	10.01.05.01	DNA repair	8692841	TFIIH basal transcription factor complex helicase XPD subunit ;Cyclin-dependent kinase 7 ;Cyclin-H ;CDK-activating kinase assembly factor MAT1	ERCC2;CDK7;CCNH;MNAT1	XPD XPDC;CAK CAK1 CDKN7 MO15 STK1;;CAP35 MAT1 RNF66	None	None	TFIIH* and ERCC2/CAK interact to form the TFIIH holoenzyme capable of efficiently assembling the pol II transcription initiation complex and directly participating in excision repair reactions.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
2670	Er-alpha-p53-hdm2 complex	Human	None	None	P03372;P04637;Q00987	2099;7157;4193	MI:0096- pull down	GO:0030234;GO:0050790	enzyme regulator activity;regulation of catalytic activity	18.02.01	enzymatic activity regulation / enzyme regulator	10766163	Estrogen receptor;Cellular tumor antigen p53;E3 ubiquitin-protein ligase Mdm2	ESR1;TP53;MDM2	ESR, NR3A1;P53;	None	None	The authors demonstrated that ER-alpha protects p53 from being deactivated by hdm2 in a Luc reporter assay.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
2678	FOXO3-TP53 complex, oxidative stress stimulated	Human	None	None	O43524;P04637	2309;7157	MI:0019- coimmunoprecipitation	GO:2001141;GO:0006355;GO:0000302;GO:0006979;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;response to reactive oxygen species;response to oxidative stress;nucleus	11.02.03.04;32.01.01;70.10	transcriptional control;oxidative stress response;nucleus	14976264	Forkhead box protein O3;Cellular tumor antigen p53	FOXO3;TP53	FKHRL1, FOXO3A;P53	None	None	None	Homo sapiens (Human);Homo sapiens (Human)
2679	p53-SP1 complex	Human	None	None	P04637;P08047	7157;6667	MI:0006- anti bait coimmunoprecipitation	GO:2001141;GO:0006355;GO:0003677;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;nucleus	11.02.03.04;16.03.01;70.10	transcriptional control;DNA binding;nucleus	15674334	Cellular tumor antigen p53;Transcription factor Sp1	TP53;SP1	P53;TSFP1	None	None	The authors provide evidence that p53 repressed the RECQ4 promoter by forming a complex with the transcription factor, SP1, and by regulating promoter occupancy of both itself and SP1 in concert with histone deacetylase 1 (HDAC1). The formation of this complex is camptothecin-dependent.	Homo sapiens (Human);Homo sapiens (Human)
2681	p53 homotetramer complex	Human	None	None	P04637	7157	MI:0031- protein cross-linking with a bifunctional reagent; MI:0276- blue native page	GO:2001141;GO:0006355;GO:0003677;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;nucleus	11.02.03.04;16.03.01;70.10	transcriptional control;DNA binding;nucleus	15674341	Cellular tumor antigen p53	TP53	P53	None	None	The results demonstrate that Ref-1 (redox factor 1) modulates p53 DNA binding not only as a redox regulator but also as a factor, which facilitates the formation of p53 tetramers from higher oligomeric forms as well as from dimers. Ref-1 mediates de-stacking of higher oligomeric forms into individual tetramers, as well as the assembly of dimers into tetramers. Redox-dependent and redox-independent activation of p53 seem to require different amounts of Ref-1.	Homo sapiens (Human)
2682	Bcl-xL-p53-PUMA complex, DNA damage induced	Mouse	None	None	P02340;Q64373;Q99ML1	22059;12048;170770	MI:0019- coimmunoprecipitation; MI:0069- mass spectrometry studies of complexes	GO:0006915;GO:0005737	apoptotic process;cytoplasm	40.10.02;70.03	apoptosis (type I programmed cell death);cytoplasm	16151013	Cellular tumor antigen p53 ;Bcl-2-like protein 1 ;Bcl-2-binding component 3	Tp53;Bcl2l1;Bbc3	P53 Trp53;Bcl2l Bclx;Puma	None	None	PUMA appeared to be the major regulator of the p53\u00b7Bcl-xL complex after UV treatment because no free cytoplasmic p53 was observed in Puma-/- cytosol. The authors support a model of p53-dependent, DNA damage-induced apoptosis that includes both nuclear and cytoplasmic functions of p53.	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)
2683	PUMA-Bcl-xL complex, DNA-damage induced	Mouse	None	None	Q64373;Q99ML1	12048;170770	MI:0004- affinity chromatography technologies	GO:0006915;GO:0005737	apoptotic process;cytoplasm	40.10.02;70.03	apoptosis (type I programmed cell death);cytoplasm	16151013	Bcl-2-like protein 1 ;Bcl-2-binding component 3	Bcl2l1;Bbc3	Bcl2l Bclx;Puma	None	None	The p53-Bcl-xL complex was disrupted by incubation with PUMA. The p53 released from Bcl-xL by PUMA still activated BAX and induced mitochondrial cytochrome c release.	Mus musculus (Mouse);Mus musculus (Mouse)
2684	p53-Bcl-xL complex, DNA-damage induced	Mouse	None	None	P02340;Q64373	22059;12048	MI:0019- coimmunoprecipitation	GO:0006915;GO:0005737	apoptotic process;cytoplasm	40.10.02;70.03	apoptosis (type I programmed cell death);cytoplasm	16151013	Cellular tumor antigen p53 ;Bcl-2-like protein 1	Tp53;Bcl2l1	P53 Trp53;Bcl2l Bclx	None	None	In the presence of PUMA expression , the amount of p53 associated with Bcl-xL decreased after UV treatment, and this temporally correlated with the induction of apoptosis. PUMA may function to liberate p53 from Bcl-xL.	Mus musculus (Mouse);Mus musculus (Mouse)
2685	RNA polymerase II (RNAPII)	Human	None	None	O15514;P13984;P19387;P19388;P24928;P30876;P35269;P36954;P52434;P52435;P53803;P61218;P62487;P62875;Q00403;Q9BWH6;Q9Y5B0	5433;2963;5432;5434;5430;5431;2962;5438;5437;5439;5440;5435;5436;5441;2959;26015;9150	MI:0004- affinity chromatography technologies; MI:0069- mass spectrometry studies of complexes	GO:0006351;GO:0003677;GO:0005634	transcription, DNA-templated;DNA binding;nucleus	11;16.03.01;70.10	TRANSCRIPTION;DNA binding;nucleus	15282305	DNA-directed RNA polymerase II subunit RPB4 ;General transcription factor IIF subunit 2 ;DNA-directed RNA polymerase II subunit RPB3 ;DNA-directed RNA polymerases I, II, and III subunit RPABC1 ;DNA-directed RNA polymerase II subunit RPB1;DNA-directed RNA polymerase II subunit RPB2 ;General transcription factor IIF subunit 1;DNA-directed RNA polymerase II subunit RPB9 ;DNA-directed RNA polymerases I, II, and III subunit RPABC3 ;DNA-directed RNA polymerase II subunit RPB11-a ;DNA-directed RNA polymerases I, II, and III subunit RPABC4 ;DNA-directed RNA polymerases I, II, and III subunit RPABC2 ;DNA-directed RNA polymerase II subunit RPB7 ;DNA-directed RNA polymerases I, II, and III subunit RPABC5 ;Transcription initiation factor IIB;RNA polymerase II-associated protein 1;RNA polymerase II subunit A C-terminal domain phosphatase	POLR2D;GTF2F2;POLR2C;POLR2E;POLR2A;POLR2B;GTF2F1;POLR2I;POLR2H;POLR2J;POLR2K;POLR2F;POLR2G;POLR2L;GTF2B;RPAP1;CTDP1	;RAP30;;;POLR2;;RAP74;;;POLR2J1;;POLRF;RPB7;;TF2B TFIIB;KIAA1403;FCP1	None	None	The authors demonstrate the purification of a functionally active human RNAPII by the use of doubly tagged subunits expressed in mammalian cells.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
2686	BRCA1-core RNA polymerase II complex	Human	None	None	O15514;P19387;P19388;P24928;P30876;P36954;P38398;P52434;P52435;P53803;P61218;P62487;P62875	5433;5432;5434;5430;5431;5438;672;5437;5439;5440;5435;5436;5441	MI:0004- affinity chromatography technologies	GO:0006351;GO:0003677;GO:0005634	transcription, DNA-templated;DNA binding;nucleus	11;16.03.01;70.10	TRANSCRIPTION;DNA binding;nucleus	10725406	DNA-directed RNA polymerase II subunit RPB4 ;DNA-directed RNA polymerase II subunit RPB3 ;DNA-directed RNA polymerases I, II, and III subunit RPABC1 ;DNA-directed RNA polymerase II subunit RPB1;DNA-directed RNA polymerase II subunit RPB2 ;DNA-directed RNA polymerase II subunit RPB9 ;Breast cancer type 1 susceptibility protein;DNA-directed RNA polymerases I, II, and III subunit RPABC3 ;DNA-directed RNA polymerase II subunit RPB11-a ;DNA-directed RNA polymerases I, II, and III subunit RPABC4 ;DNA-directed RNA polymerases I, II, and III subunit RPABC2 ;DNA-directed RNA polymerase II subunit RPB7 ;DNA-directed RNA polymerases I, II, and III subunit RPABC5	POLR2D;POLR2C;POLR2E;POLR2A;POLR2B;POLR2I;BRCA1;POLR2H;POLR2J;POLR2K;POLR2F;POLR2G;POLR2L	;;;POLR2;;;RNF53;;POLR2J1;;POLRF;RPB7;	None	None	The transcriptional coactivator BRCA1 interacts directly with the core Pol II complex in vitro.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
2688	MT1-MMP-claudin-1 complex	Human	None	None	O95832;P50281	9076;4323	MI:0006- anti bait coimmunoprecipitation	GO:0051098;GO:0005515;GO:0016504	regulation of binding;protein binding;peptidase activator activity	18.01.07;16.01;18.02.01.01.03	regulation by binding / dissociation;protein binding;protease activator	11382769	Claudin-1 ;Matrix metalloproteinase-14	CLDN1;MMP14	CLD1 SEMP1;None	None	None	None	Homo sapiens (Human);Homo sapiens (Human)
2689	Fra1-JunB DNA-protein complex	Rat	None	heart muscle	P10158;P24898	25445;24517	MI:0413-electrophoretic mobility shift assay	GO:2001141;GO:0006355;GO:0003677;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;nucleus	11.02.03.04;16.03.01;70.10	transcriptional control;DNA binding;nucleus	12371906	Fos-related antigen 1;Transcription factor jun-B	Fosl1;Junb	Fra1;Jun-b	None	None	Examination of the -1410 to -1362 bp promoter sequence of matrix metalloproteinase 2 (MMP-2) revealed apotential AP-1 complex binding site at -1394 to -1384bp.EMSA studies, combined with single and double antibodystudies, indicate the specific binding of Fra1-JunB heterodimersto the AP-1 site using nuclear extracts from fibroblasts culturedunder normoxic conditions. The studies demonstrate that a functional AP-1 site mediates MMP-2 transcription in cardiaccells through the binding of distinctive Fra1-JunB and FosB-JunB heterodimers.	Rattus norvegicus (Rat);Rattus norvegicus (Rat)
2690	Atf2-c-Jun-c-Myc complex	Rat	None	None	P09416;P17325;Q00969	24577;24516;81647	MI:0019- coimmunoprecipitation	GO:0007049;GO:2001141;GO:0006355;GO:0003677;GO:0006950;GO:0005634	cell cycle;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;response to stress;nucleus	10.03;11.02.03.04;16.03.01;32.01;70.10	cell cycle;transcriptional control;DNA binding;stress response;nucleus	15990869	Myc proto-oncogene protein ;Transcription factor AP-1 ;Cyclic AMP-dependent transcription factor ATF-2	Myc;Jun;Atf2	;Rjg-9;	None	None	c-Myc forms a ternary complex with ATF2/c-Jun through its direct binding to ATF2. ATF2/c-Jun complex binds the ATF/CRE DNA motif and c-Myc is recruited to the proximal region of the ATF3 promoter. The authors describe a functional link between the stress response gene ATF3 and the proto-oncogene c-myc.	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)
2692	SMAD3-SMAD4-cJun-cFos complex	Human	None	None	P01100;P05412;P84022;Q13485	2353;3725;4088;4089	MI:0412- electrophoretic mobility supershift assay	GO:0045893;GO:0003677;GO:0007179;GO:0005634	positive regulation of transcription, DNA-templated;DNA binding;transforming growth factor beta receptor signaling pathway;nucleus	11.02.03.04.01;16.03.01;30.05.01.18.01;70.10	transcription activation;DNA binding;TGF-beta-receptor signalling pathway;nucleus	9732876	Proto-oncogene c-Fos ;Transcription factor AP-1 ;Mothers against decapentaplegic homolog 3;Mothers against decapentaplegic homolog 4	FOS;JUN;SMAD3;SMAD4	G0S7;;MADH3;DPC4 MADH4	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
2693	NFAT-JUN-FOS DNA-protein complex	Human	None	None	P01100;P05412;Q13469	2353;3725;4773	MI:0114- x-ray crystallography	GO:0045893;GO:0003677;GO:0006955	positive regulation of transcription, DNA-templated;DNA binding;immune response	11.02.03.04.01;16.03.01;36.25.16	transcription activation;DNA binding;immune response	9510247	Proto-oncogene c-Fos ;Transcription factor AP-1 ;Nuclear factor of activated T-cells, cytoplasmic 2	FOS;JUN;NFATC2	G0S7;;NFAT1 NFATP	None	None	NFAT and heterodimer Fos-Jun cooperatively bind a composite DNA site and synergistically activate the expression of many immune-response genes.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
2694	ERG-JUN-FOS DNA-protein complex	Human	None	None	P01100;P05412;P11308	2353;3725;2078	MI:0096- pull down; MI:0413- electrophoretic mobility shift assay; MI:0114- x-ray crystallography	GO:2001141;GO:0006355;GO:0003677;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;nucleus	11.02.03.04;16.03.01;70.10	transcriptional control;DNA binding;nucleus	11278640	Proto-oncogene c-Fos ;Transcription factor AP-1 ;Transcriptional regulator ERG	FOS;JUN;ERG	G0S7;;	None	None	The authors demonstrated that amino acids Arg(367) and Tyr(371) of the ETS domain, but not Asp374, play an important role in the recruitment of the Jun/Fos heterodimer by Erg. The authors propose that interdependent protein-protein and protein-DNA contacts regulate Erg-Jun/Fos-DNA complex assembly.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
